date,location,total_cases,new_cases,total_deaths,new_deaths
2020-05-03,Philippines,8928,156,603,24
2020-05-04,Philippines,9223,295,607,4
2020-05-05,Philippines,9485,262,623,16
2020-05-06,Philippines,9684,199,637,14
2020-05-07,Philippines,10004,320,658,21
2020-05-08,Philippines,10343,339,685,27
2020-05-09,Philippines,10463,120,696,11
2020-05-10,Philippines,10610,147,704,8
2020-05-11,Philippines,10794,184,719,15
2020-05-12,Philippines,11086,292,726,7
2020-05-13,Philippines,11350,264,751,25
2020-05-14,Philippines,11618,268,772,21
2020-05-15,Philippines,11876,258,790,18
2020-05-16,Philippines,12091,215,806,16
2020-05-17,Philippines,12305,214,817,11
2020-05-18,Philippines,12513,208,824,7
2020-05-19,Philippines,12718,205,831,7
2020-05-20,Philippines,12942,224,837,6
2020-05-21,Philippines,13221,279,842,5
2020-05-22,Philippines,13434,213,846,4
2020-05-23,Philippines,13597,163,857,11
2020-05-24,Philippines,13777,180,863,6
2020-05-25,Philippines,14035,258,868,5
2020-05-26,Philippines,14319,284,873,5
2020-05-27,Philippines,14669,350,886,13
2020-05-28,Philippines,15049,380,904,18
2020-05-29,Philippines,15588,539,921,17
2020-05-30,Philippines,16634,1046,942,21
2020-05-31,Philippines,17224,590,950,8
2020-06-01,Philippines,18086,862,957,7
2020-06-02,Philippines,18638,552,960,3
2020-06-03,Philippines,18997,359,966,6
2020-06-04,Philippines,19748,751,974,8
2020-06-05,Philippines,20382,634,984,10
2020-06-06,Philippines,20626,244,987,3
2020-06-07,Philippines,21340,714,994,7
2020-06-08,Philippines,21895,555,1003,9
2020-06-09,Philippines,22474,579,1011,8
2020-06-10,Philippines,22992,518,1017,6
2020-06-11,Philippines,23732,740,1027,10
2020-06-12,Philippines,24175,443,1036,9
2020-06-13,Philippines,24787,612,1052,16
2020-06-14,Philippines,25392,605,1074,22
2020-06-15,Philippines,25930,538,1088,14
2020-06-16,Philippines,26420,490,1098,10
2020-06-17,Philippines,26781,361,1103,5
2020-06-18,Philippines,27238,457,1108,5
2020-06-19,Philippines,27799,561,1116,8
2020-06-20,Philippines,28459,660,1130,14
2020-06-21,Philippines,29400,941,1150,20
2020-06-22,Philippines,30052,652,1169,19
2020-06-23,Philippines,30682,630,1177,8
2020-06-24,Philippines,31825,1143,1186,9
2020-06-25,Philippines,32295,470,1204,18
2020-06-26,Philippines,33069,774,1212,8
2020-06-27,Philippines,34073,1004,1224,12
2020-06-28,Philippines,34803,730,1236,12
2020-06-29,Philippines,35455,652,1244,8
2020-06-30,Philippines,36438,983,1255,11
2020-07-01,Philippines,37514,1076,1266,11
2020-07-02,Philippines,38511,997,1270,4
2020-07-03,Philippines,38805,294,1274,4
2020-07-04,Philippines,40336,1531,1280,6
2020-07-05,Philippines,41830,1494,1290,10
2020-07-06,Philippines,41830,0,1290,0
2020-07-07,Philippines,46333,4503,1303,13
2020-07-08,Philippines,47873,1540,1309,6
2020-07-09,Philippines,50359,2486,1314,5
2020-07-10,Philippines,51754,1395,1318,4
2020-07-11,Philippines,52914,1160,1360,42
2020-07-12,Philippines,54222,1308,1372,12
2020-07-13,Philippines,56259,2037,1534,162
2020-07-14,Philippines,57006,747,1599,65
2020-07-15,Philippines,57545,539,1603,4
2020-07-16,Philippines,58850,1305,1614,11
2020-07-17,Philippines,61266,2416,1643,29
2020-07-18,Philippines,63001,1735,1660,17
2020-07-19,Philippines,65304,2303,1773,113
2020-07-20,Philippines,67456,2152,1831,58
2020-07-21,Philippines,68898,1442,1835,4
2020-07-22,Philippines,70764,1866,1837,2
2020-07-23,Philippines,72269,1505,1843,6
2020-07-24,Philippines,74390,2121,1871,28
2020-07-25,Philippines,76444,2054,1879,8
2020-07-26,Philippines,78412,1968,1897,18
2020-07-27,Philippines,80448,2036,1932,35
2020-07-28,Philippines,82040,1592,1945,13
2020-07-29,Philippines,83673,1633,1947,2
2020-07-30,Philippines,85486,1813,1962,15
2020-07-31,Philippines,89374,3888,1983,21
2020-08-01,Philippines,93354,3980,2023,40
2020-08-02,Philippines,98232,4878,2039,16
2020-08-03,Philippines,103185,4953,2059,20
2020-08-04,Philippines,106330,3145,2104,45
2020-08-05,Philippines,112593,6263,2115,11
2020-08-06,Philippines,115980,3387,2123,8
2020-08-07,Philippines,119460,3480,2150,27
2020-08-08,Philippines,122754,3294,2168,18
2020-08-09,Philippines,126885,4131,2209,41
2020-08-10,Philippines,129913,3028,2270,61
2020-08-11,Philippines,136638,6725,2293,23
2020-08-12,Philippines,139538,2900,2312,19
2020-08-13,Philippines,143749,4211,2404,92
2020-08-14,Philippines,147526,3777,2426,22
2020-08-15,Philippines,153660,6134,2442,16
2020-08-16,Philippines,157918,4258,2600,158
2020-08-17,Philippines,161253,3335,2665,65
2020-08-18,Philippines,164474,3221,2681,16
2020-08-19,Philippines,169213,4739,2687,6
2020-08-20,Philippines,173774,4561,2795,108
2020-08-21,Philippines,178022,4248,2883,88
2020-08-22,Philippines,182365,4343,2940,57
2020-08-23,Philippines,187249,4884,2966,26
2020-08-24,Philippines,189601,2352,2998,32
2020-08-25,Philippines,194252,4651,3010,12
2020-08-26,Philippines,197164,2912,3038,28
2020-08-27,Philippines,202361,5197,3137,99
2020-08-28,Philippines,205581,3220,3234,97
2020-08-29,Philippines,209544,3963,3325,91
2020-08-30,Philippines,213131,3587,3419,94
2020-08-31,Philippines,217396,4265,3520,101
2020-09-01,Philippines,220819,3423,3563,43
2020-09-02,Philippines,224264,3445,3597,34
2020-09-03,Philippines,226440,2176,3623,26
2020-09-04,Philippines,228403,1963,3688,65
2020-09-05,Philippines,228403,0,3688,0
2020-09-06,Philippines,234570,6167,3790,102
2020-09-07,Philippines,237365,2795,3875,85
2020-09-08,Philippines,238727,1362,3890,15
2020-09-09,Philippines,241987,3260,3916,26
2020-09-10,Philippines,245143,3156,3986,70
2020-09-11,Philippines,248947,3804,4066,80
2020-09-12,Philippines,252964,4017,4108,42
2020-09-13,Philippines,257863,4899,4292,184
2020-09-14,Philippines,261216,3353,4371,79
2020-09-15,Philippines,265888,4672,4630,259
2020-09-16,Philippines,269407,3519,4663,33
2020-09-17,Philippines,272934,3527,4732,69
2020-09-18,Philippines,276289,3355,4785,53
2020-09-19,Philippines,279526,3237,4830,45
2020-09-20,Philippines,283460,3934,4930,100
2020-09-21,Philippines,286743,3283,4984,54
2020-09-22,Philippines,290190,3447,4999,15
2020-09-23,Philippines,291789,1599,5049,50
2020-09-24,Philippines,294591,2802,5091,42
2020-09-25,Philippines,296755,2164,5127,36
2020-09-26,Philippines,299361,2606,5196,69
2020-09-27,Philippines,301256,1895,5284,88
2020-09-28,Philippines,304226,2970,5344,60
2020-09-29,Philippines,307288,3062,5381,37
2020-09-30,Philippines,309303,2015,5448,67
2020-10-01,Philippines,309303,0,5448,0
2020-10-02,Philippines,314079,4776,5562,114
2020-10-03,Philippines,316678,2599,5616,54
2020-10-04,Philippines,319330,2652,5678,62
2020-10-05,Philippines,322497,3167,5776,98
2020-10-06,Philippines,324762,2265,5840,64
2020-10-07,Philippines,326833,2071,5865,25
2020-10-08,Philippines,329637,2804,5925,60
2020-10-09,Philippines,331869,2232,6069,144
2020-10-10,Philippines,334770,2901,6152,83
2020-10-11,Philippines,336926,2156,6238,86
2020-10-12,Philippines,339341,2415,6321,83
2020-10-13,Philippines,342816,3475,6332,11
2020-10-14,Philippines,344713,1897,6372,40
